1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,0,3,Av,48,4,1774,774,1,2007,1828,Gd,11694,90,452,108,5,9,1822,2007,2007,314813
894,0,2,No,0,1,894,308,2,1962,894,TA,6600,60,0,0,5,5,894,1962,1962,109500
964,0,2,No,713,5,163,432,1,1921,964,TA,13360,80,0,0,7,5,876,1921,2006,163500
1689,0,3,No,1218,6,350,857,2,2002,1689,Gd,13265,69,148,59,5,8,1568,2002,2002,271000
1541,0,3,No,0,1,1541,843,2,2001,1541,Gd,13704,118,150,81,5,7,1541,2001,2002,205000
1221,0,2,No,410,6,811,400,2,2004,1221,Gd,7500,62,0,113,5,7,1221,2004,2005,185000
1324,0,3,No,643,3,445,440,2,1965,1324,TA,8658,84,101,138,5,6,1088,1965,1965,160000
696,720,3,No,604,5,92,484,1,1999,1416,Gd,2572,24,0,44,5,7,696,1999,1999,155000
526,462,2,Gd,462,6,0,297,1,1973,988,TA,1596,21,0,101,5,4,462,1973,1973,91000
869,349,3,No,375,5,360,440,1,2003,1218,TA,6000,60,0,0,6,6,735,1941,1950,131000
760,896,3,No,0,1,746,397,3,2003,1656,Gd,6931,60,92,128,5,7,746,2003,2004,165400
1362,0,2,Av,20,5,1342,460,2,2005,1362,Gd,7577,61,256,28,5,6,1362,2005,2006,194700
1051,788,4,No,0,1,756,442,1,1966,1839,TA,7700,70,351,124,5,6,756,1966,1966,155000
1375,0,2,No,0,1,1367,451,1,1954,1375,TA,11310,75,0,30,5,6,1367,1954,1954,140000
1122,0,2,No,144,6,172,528,1,1948,1122,Gd,12000,100,0,36,7,5,924,1948,2005,147000
1432,0,2,Gd,680,5,289,588,1,1978,1432,Gd,16157,69,0,180,7,5,1360,1978,1978,194000
728,728,3,Av,0,1,728,400,3,2007,1456,Gd,9018,65,0,24,5,7,728,2007,2007,179540
1217,0,3,Av,611,6,577,497,1,1990,1217,Gd,9947,69,0,27,5,7,1188,1990,1991,173000
1040,0,2,None,0,0,0,625,1,1950,1040,TA,7200,60,0,0,7,5,0,1950,1950,109500
612,612,2,Av,294,6,318,528,2,2009,1224,Gd,3000,30,76,234,5,6,612,2009,2009,173733
1022,752,2,No,0,1,952,468,1,1931,1774,TA,6120,51,0,0,5,7,952,1931,1950,129900
961,406,4,No,241,3,229,384,1,1978,1367,TA,8405,50,0,130,8,5,861,1900,1950,119000
803,557,2,No,0,1,803,297,2,1951,1360,Gd,7200,60,0,65,6,5,803,1938,1995,125500
848,0,1,Av,697,6,151,420,2,2004,848,Gd,4426,69,147,0,5,6,848,2004,2004,149300
1482,780,3,Gd,871,6,611,749,3,2003,2262,Gd,12244,85,226,0,5,8,1482,2003,2003,305000
1220,0,2,No,836,2,0,396,1,1951,1220,TA,8877,67,0,0,5,4,836,1951,1951,102000
1414,0,2,No,0,1,1375,398,3,2004,1414,Gd,3072,69,18,20,5,7,1375,2004,2004,178740
1134,924,3,No,319,3,416,396,1,1950,2058,TA,9600,60,0,0,5,6,735,1917,1950,129500
1088,110,4,No,0,4,901,0,2,1979,1198,TA,5586,60,0,98,7,6,901,1920,1998,79900
1659,0,2,No,1158,6,343,499,3,2000,1659,Ex,5664,40,0,59,5,8,1501,2000,2000,278000
1012,0,2,No,0,1,1012,308,1,1920,1012,TA,8263,59,0,22,5,6,1012,1920,1950,118400
1687,998,5,No,523,6,301,672,3,1970,3082,TA,15863,102,0,63,3,7,824,1920,1970,197000
1032,0,4,No,0,1,360,672,1,1999,1812,Gd,7630,76,0,0,9,5,360,1900,1996,140000
1057,872,3,No,738,4,319,650,3,2001,1929,Gd,7050,69,0,235,5,7,1057,2001,2001,226000
954,0,3,Av,483,5,428,576,1,1976,954,TA,10780,55,0,0,5,5,911,1976,1976,132500
1838,0,2,Av,1260,6,578,765,2,2006,1838,Ex,14601,85,584,68,5,9,1838,2006,2006,315000
1640,0,3,No,728,4,568,924,1,1993,1640,Gd,14778,69,72,0,7,6,1296,1954,2006,224000
1148,0,3,No,1148,4,0,672,1,1959,1148,TA,7931,70,0,0,5,5,1148,1959,1959,132500
950,0,3,No,412,4,251,280,1,1981,950,TA,9758,61,0,0,5,5,950,1971,1971,119500
1065,846,3,No,380,4,397,471,2,1993,1911,Gd,9554,80,125,81,5,8,777,1993,1994,215000
915,720,3,No,300,3,765,440,1,1950,1635,TA,8737,70,0,38,7,6,1065,1923,1950,210000
1316,0,3,Av,0,4,1316,440,3,2007,1316,Gd,11175,103,0,20,5,7,1316,2007,2007,200141
1442,0,2,No,0,1,1442,615,2,1970,1442,TA,11717,69,571,0,6,6,1442,1970,1970,185000
1078,0,3,No,734,6,344,500,3,1971,1078,TA,12537,69,0,0,6,5,1078,1971,2008,149900
1120,0,3,No,932,5,108,544,2,1961,1120,Fa,6970,85,0,0,5,4,1040,1961,1961,129000
779,640,3,No,353,6,55,527,3,2002,1419,Gd,7750,69,0,0,5,8,408,2002,2002,184100
707,682,3,No,0,1,651,240,1,1947,1389,TA,3378,60,0,0,8,7,651,1946,1992,135000
1063,0,3,No,354,3,412,280,2,1954,1063,TA,9920,80,110,0,5,5,1056,1954,1954,128000
1792,0,2,Gd,1567,6,225,874,3,2003,1792,Ex,11846,72,562,49,5,9,1792,2003,2004,374000
1216,0,2,No,897,6,319,402,1,1998,1216,TA,4500,32,116,125,5,6,1216,1998,1998,164000
998,764,4,No,0,1,596,576,1,1989,1762,Gd,7200,60,0,0,7,7,596,1920,1950,157000
847,1112,4,Av,0,1,847,434,3,2004,1959,Gd,11796,59,0,48,5,7,847,2004,2005,215000
1208,0,3,No,767,5,441,546,2,1977,1208,TA,11250,69,0,42,6,6,1208,1977,1977,165000
874,650,3,No,460,4,414,315,1,1958,1524,TA,11344,78,180,0,5,5,874,1958,1958,144000
796,358,3,No,735,4,61,240,1,1922,1154,Gd,5436,40,0,96,8,4,796,1922,2007,125500
1048,0,3,None,0,0,0,420,1,1950,1048,TA,7200,60,0,27,5,5,0,1950,1950,98300
886,0,2,No,0,1,190,273,1,1938,886,TA,5784,50,0,20,8,5,190,1938,1996,91300
943,0,2,Gd,943,6,0,600,1,1979,943,TA,7032,69,0,0,5,5,943,1979,1979,135960
866,902,3,No,400,6,466,603,2,2005,1768,Gd,9803,75,0,108,5,7,866,2005,2005,226700
1422,1177,4,No,0,1,1393,779,3,1999,2599,Gd,14774,108,165,30,5,9,1393,1999,1999,333168
912,0,2,No,456,3,456,275,2,1958,912,TA,10150,70,1,0,5,5,912,1958,1958,114500
882,0,2,None,0,0,0,308,1,1956,882,TA,12702,70,0,45,5,5,0,1956,1956,97000
1337,0,2,No,266,6,1139,511,3,1998,1337,Gd,4060,34,0,68,5,6,1405,1998,1999,181000
2076,0,2,Gd,1386,6,690,850,2,2006,2076,Ex,13891,107,0,229,5,10,2076,2006,2006,465000
1328,1203,4,Av,56,2,1198,752,2,1995,2531,Gd,12257,65,513,98,5,8,1318,1995,1995,290000
981,787,3,No,569,5,162,240,1,1939,1768,Gd,7200,60,252,0,7,5,731,1937,1950,175000
1625,0,2,Gd,1573,4,0,538,2,2006,1625,Gd,4750,44,481,0,5,8,1573,2006,2007,235000
1444,700,4,Gd,697,3,747,389,3,1958,2144,Gd,159000,69,472,98,7,6,1444,1958,2006,277000
1521,0,3,No,0,1,1237,880,1,1988,2775,Gd,13500,75,0,502,9,10,1237,1893,2000,325000
1140,728,3,No,0,1,585,477,3,1984,1868,TA,12090,78,74,112,7,6,585,1984,2003,178000
1525,0,3,Av,1400,6,125,541,2,2000,1525,Gd,9100,70,244,36,5,7,1525,2000,2000,235000
1571,0,3,Gd,0,4,1571,722,3,2007,1571,Gd,10991,89,80,36,5,8,1571,2007,2007,239000
796,0,2,No,0,1,796,0,0,1979,796,TA,8777,67,0,0,7,5,796,1910,1950,85000
1378,994,4,No,0,1,994,432,2,1985,2372,TA,6600,60,0,287,4,5,994,1892,1965,107500
802,670,3,No,0,1,384,402,2,1991,1472,Gd,10784,69,76,0,5,7,384,1991,1992,160000
960,0,0,Av,648,6,0,364,1,1965,960,TA,10246,69,0,0,9,4,648,1965,2001,145000
734,1104,4,Av,0,1,732,372,3,2005,1838,TA,21930,60,0,40,5,5,732,2005,2005,192140
1309,0,3,No,663,5,0,484,2,1974,1309,Gd,10140,78,99,0,6,6,1040,1974,1999,181000
2069,574,3,Av,0,1,2153,694,3,2006,2643,Ex,13693,105,772,84,5,9,2153,2006,2006,380000
676,455,3,No,0,1,676,200,1,1941,1131,TA,5720,52,0,0,6,5,676,1941,1950,66500
960,1000,4,No,0,1,960,400,1,1952,1960,TA,7596,60,360,0,5,5,960,1952,1952,124500
1144,0,3,No,25,4,247,336,1,1962,1144,TA,9204,71,0,88,5,5,1144,1963,1963,124000
1056,0,0,No,1056,6,0,576,1,1980,1056,TA,6979,64,0,56,5,6,1056,1980,1980,144000
693,0,2,No,0,4,693,0,0,1979,693,Fa,4118,153,0,20,4,4,693,1941,1950,52500
1494,0,3,Gd,1200,6,279,576,2,1997,1494,Gd,9236,79,0,27,5,6,1479,1997,1997,217000
1646,0,2,Gd,1373,6,221,482,3,2004,1646,Gd,3842,44,174,53,5,8,1594,2004,2005,275000
864,0,3,Av,390,5,474,352,1,1989,864,TA,7180,60,0,0,7,5,864,1972,1972,127000
1566,0,3,Av,1078,6,488,750,2,2008,1566,Gd,9000,75,36,168,5,8,1566,2008,2008,262500
735,660,3,No,593,4,130,497,1,1972,1395,TA,12936,69,0,116,6,6,723,1972,1972,162000
848,0,2,No,152,4,628,539,1,1962,1208,TA,6240,52,0,23,5,4,780,1925,1950,103000
939,574,4,Mn,0,1,939,180,1,1933,1513,TA,6120,51,0,0,8,5,939,1920,2004,137500
959,408,3,No,425,2,459,560,2,1978,1367,TA,6240,52,0,0,6,6,884,1931,1950,127500
955,0,3,No,763,4,192,386,1,1966,955,TA,7742,66,0,0,7,5,955,1966,1966,127000
1077,0,3,No,0,1,1007,210,1,1922,1077,TA,9786,60,0,100,4,3,1007,1922,1950,91000
1056,0,3,Mn,1056,3,0,572,3,1955,1056,TA,34650,100,0,0,5,5,1056,1955,1955,145000
756,797,3,No,0,1,756,615,2,2005,1553,Gd,8125,65,0,45,5,7,756,2005,2006,186500
1614,0,3,Av,20,6,1594,865,2,2005,1614,Gd,11210,86,240,59,5,7,1614,2005,2006,221500
2042,0,3,No,0,4,2042,1390,2,2009,2042,Ex,12704,98,306,90,5,8,2042,2008,2009,253293
1073,0,2,No,0,1,1073,326,2,1968,1073,TA,5400,60,0,0,6,5,1073,1921,1968,108480
1072,213,2,No,336,4,295,240,1,1948,1285,TA,8635,50,0,0,5,5,672,1948,2001,127000
2117,0,4,Mn,865,4,340,550,3,1970,2117,TA,12925,69,0,42,7,6,1205,1970,1970,237500
605,0,2,Mn,348,4,180,0,2,1979,605,TA,9098,58,0,0,7,4,528,1920,2002,86000
1150,0,3,No,179,5,465,300,2,1959,1150,TA,7945,70,0,0,6,5,1150,1959,1959,141000
728,728,3,No,0,1,728,400,2,2005,1456,Gd,8029,51,0,24,5,6,728,2005,2005,176000
999,0,3,Av,867,5,77,588,2,1961,999,Ex,12122,69,210,76,9,7,944,1961,2007,178400
750,750,3,No,0,1,750,564,2,2005,1500,Gd,8846,68,0,35,5,6,750,2005,2006,173900
1336,0,2,Mn,841,4,324,375,1,1953,1336,TA,15750,90,56,0,5,5,1165,1953,1953,157000
864,729,3,No,759,6,80,398,2,2004,1593,TA,7415,62,0,75,5,6,839,2004,2004,193000
1130,1054,3,Av,936,6,168,836,3,2008,2184,Ex,11308,96,154,102,5,9,1104,2008,2008,335000
1560,0,3,No,0,1,1560,573,3,2003,1560,Gd,9196,129,0,150,5,7,1560,2003,2003,201000
888,0,3,No,386,2,342,312,1,1942,1644,Gd,9480,79,224,0,7,5,728,1942,1995,146500
630,0,3,Av,515,6,115,286,1,1970,630,Gd,1526,21,0,0,8,4,630,1970,2002,86000
