1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856.0,854.0,3.0,No,706.0,GLQ,150.0,0.0,548.0,RFn,2003.0,1710.0,Gd,8450.0,65.0,196.0,61.0,5.0,7.0,856.0,0.0,2003,2003,208500.0
1262.0,0.0,3.0,Gd,978.0,ALQ,284.0,,460.0,RFn,1976.0,1262.0,TA,9600.0,80.0,0.0,0.0,8.0,6.0,1262.0,,1976,1976,181500.0
920.0,866.0,3.0,Mn,486.0,GLQ,434.0,0.0,608.0,RFn,2001.0,1786.0,Gd,11250.0,68.0,162.0,42.0,5.0,7.0,920.0,,2001,2002,223500.0
961.0,,,No,216.0,ALQ,540.0,,642.0,Unf,1998.0,1717.0,Gd,9550.0,60.0,0.0,35.0,5.0,7.0,756.0,,1915,1970,140000.0
1145.0,,4.0,Av,655.0,GLQ,490.0,0.0,836.0,RFn,2000.0,2198.0,Gd,14260.0,84.0,350.0,84.0,5.0,8.0,1145.0,,2000,2000,250000.0
796.0,566.0,1.0,No,732.0,GLQ,64.0,,480.0,Unf,1993.0,1362.0,TA,14115.0,85.0,0.0,30.0,5.0,5.0,796.0,,1993,1995,143000.0
1694.0,0.0,3.0,Av,1369.0,GLQ,317.0,,636.0,RFn,2004.0,1694.0,Gd,10084.0,75.0,186.0,57.0,5.0,8.0,1686.0,,2004,2005,307000.0
1107.0,983.0,3.0,Mn,859.0,ALQ,216.0,,484.0,,1973.0,2090.0,TA,10382.0,,240.0,204.0,6.0,7.0,1107.0,,1973,1973,200000.0
1022.0,752.0,2.0,No,0.0,Unf,952.0,,468.0,Unf,1931.0,1774.0,TA,6120.0,51.0,0.0,0.0,5.0,7.0,952.0,,1931,1950,129900.0
1077.0,0.0,2.0,No,851.0,GLQ,140.0,,205.0,RFn,1939.0,1077.0,TA,7420.0,50.0,0.0,4.0,6.0,5.0,991.0,,1939,1950,118000.0
1040.0,0.0,3.0,No,906.0,Rec,134.0,,384.0,Unf,1965.0,1040.0,TA,11200.0,70.0,0.0,0.0,5.0,5.0,1040.0,,1965,1965,129500.0
1182.0,1142.0,4.0,No,998.0,,177.0,,736.0,Fin,2005.0,2324.0,Ex,11924.0,85.0,286.0,21.0,5.0,9.0,1175.0,,2005,2006,345000.0
912.0,0.0,2.0,No,737.0,ALQ,175.0,,352.0,,1962.0,912.0,TA,12968.0,,0.0,0.0,6.0,5.0,912.0,,1962,1962,144000.0
1494.0,0.0,3.0,Av,0.0,Unf,1494.0,,840.0,RFn,2006.0,1494.0,Gd,10652.0,91.0,306.0,33.0,5.0,7.0,1494.0,160.0,2006,2007,279500.0
1253.0,0.0,,No,733.0,BLQ,520.0,,352.0,RFn,1960.0,1253.0,TA,10920.0,,212.0,213.0,5.0,6.0,1253.0,,1960,1960,157000.0
854.0,0.0,2.0,No,0.0,Unf,832.0,,576.0,Unf,1991.0,854.0,TA,6120.0,51.0,0.0,112.0,8.0,7.0,832.0,,1929,2001,132000.0
1004.0,0.0,2.0,No,578.0,ALQ,426.0,,480.0,Fin,1970.0,1004.0,TA,11241.0,,180.0,0.0,7.0,6.0,1004.0,,1970,1970,149000.0
1296.0,0.0,2.0,None,0.0,None,0.0,,516.0,Unf,1967.0,1296.0,TA,10791.0,72.0,0.0,0.0,5.0,4.0,0.0,,1967,1967,90000.0
1114.0,,,No,646.0,GLQ,468.0,,576.0,Unf,2004.0,1114.0,Gd,13695.0,66.0,0.0,102.0,5.0,5.0,1114.0,,2004,2004,159000.0
1339.0,0.0,3.0,No,504.0,LwQ,525.0,,294.0,Unf,1958.0,1339.0,TA,7560.0,70.0,0.0,0.0,6.0,5.0,1029.0,,1958,1965,139000.0
1158.0,1218.0,4.0,Av,0.0,Unf,1158.0,,853.0,RFn,2005.0,2376.0,Gd,14215.0,101.0,380.0,154.0,5.0,8.0,1158.0,240.0,2005,2006,325300.0
1108.0,0.0,3.0,No,0.0,Unf,637.0,,280.0,Unf,1930.0,1108.0,Gd,7449.0,57.0,0.0,0.0,7.0,7.0,637.0,,1930,1950,139400.0
1795.0,0.0,3.0,No,0.0,,1777.0,,534.0,RFn,2002.0,1795.0,Gd,9742.0,75.0,281.0,159.0,5.0,8.0,1777.0,,2002,2002,230000.0
1060.0,0.0,3.0,No,840.0,GLQ,200.0,,572.0,,1976.0,1060.0,TA,4224.0,44.0,0.0,110.0,7.0,5.0,1040.0,100.0,1976,1976,129900.0
1060.0,0.0,3.0,Mn,188.0,Rec,204.0,,270.0,Unf,1968.0,1060.0,Gd,8246.0,,0.0,90.0,8.0,5.0,1060.0,,1968,2001,154000.0
1600.0,0.0,3.0,No,0.0,Unf,1566.0,,890.0,RFn,2007.0,1600.0,Gd,14230.0,110.0,640.0,56.0,5.0,8.0,1566.0,,2007,2007,256300.0
900.0,0.0,3.0,Mn,234.0,,180.0,,576.0,Unf,2005.0,900.0,Gd,7200.0,60.0,0.0,32.0,7.0,5.0,900.0,,1951,2000,134800.0
1704.0,,3.0,No,1218.0,GLQ,486.0,,772.0,,2008.0,1704.0,Gd,11478.0,98.0,200.0,50.0,5.0,8.0,1704.0,,2007,2008,306000.0
1600.0,0.0,2.0,Gd,1277.0,BLQ,207.0,0.0,319.0,RFn,1957.0,1600.0,TA,16321.0,47.0,0.0,258.0,6.0,5.0,1484.0,,1957,1997,207500.0
