1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,1stFlrSF_transformed,BsmtUnfSF_transformed,GarageArea_transformed,GrLivArea_transformed
2515,0,4,No,1219,3,816,484,2,1975,2515,TA,32668,70,0,0,3,6,2035,1957,1975,200624,2.253440194359857,0.6950932094361814,0.12861695972424012,1.6363037233332725
958,620,3,No,403,4,238,240,1,1941,1578,Fa,9490,79,0,0,7,6,806,1941,1950,133000,-0.388460577195071,-0.5219890190351225,-0.9232214904147927,0.34995548310235103
979,224,3,No,185,2,524,352,1,1950,1203,Gd,7015,70,161,0,4,5,709,1950,1950,110000,-0.3194555480560787,0.17794689811269923,-0.419580848231538,-0.44959020925832216
1156,866,4,No,392,4,768,505,3,1977,2022,TA,10005,83,299,117,5,7,1160,1977,1977,192000,0.19342934822359,0.6180500235758715,0.21243912876276688,1.0474724177542811
525,0,3,No,0,1,525,264,1,1971,1092,TA,1680,21,381,0,5,6,525,1971,1971,88000,-2.5115506404683727,0.17995845779555478,-0.811428903354074,-0.7443278638218382
1022,0,2,No,247,4,310,280,1,1956,1022,TA,7200,60,0,30,4,5,1022,1910,2006,85000,-0.18410501140275679,-0.3148262940649777,-0.7381958998205195,-0.9489744456678862
1464,0,3,Gd,929,6,556,754,1,2007,1464,Gd,15256,49,84,160,5,8,1485,2007,2007,282922,0.8759100485603636,0.24130564034239543,1.1545708336042049,0.13284808846856772
780,595,3,No,0,4,780,544,1,1979,1375,Gd,9000,50,0,162,6,6,780,1937,1950,141000,-1.0675481965656493,0.6375527491158209,0.36602869958161294,-0.05098311346185531
2411,2065,4,Av,2096,6,300,813,3,1996,4476,Ex,15623,160,0,78,5,10,2396,1996,1996,745000,2.1545191331571516,-0.3418951022226116,1.3665020711976412,3.0860301386563744
551,551,2,No,239,6,312,480,1,2004,1102,Gd,5105,70,0,60,5,7,551,2004,2004,148800,-2.3250632710234935,-0.3094701283518576,0.1125572193963111,-0.7163570186832172
