1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,1stFlrSF_transformed,BsmtUnfSF_transformed,GarageArea_transformed,GrLivArea_transformed
1828,0,3,0,48,4,1774,774,1,2007,1828,0,11694,90,452,108,5,9,1822,2007,2007,314813,1.6030589145983856,1.98047894544756,1.362951376155341,0.7192046582761513
894,0,2,1,0,1,894,308,2,1962,894,1,6600,60,0,0,5,5,894,1962,1962,109500,-0.6751681622469026,0.8187022788647297,-0.7382755362338784,-1.4254527603985945
964,0,2,1,713,5,163,432,1,1921,964,1,13360,80,0,0,7,5,876,1921,2006,163500,-0.4353223980390532,-0.8509134043424594,-0.14335683072138755,-1.2040750519363068
1689,0,3,1,1218,6,350,857,2,2002,1689,0,13265,69,148,59,5,8,1568,2002,2002,271000,1.3508950548225547,-0.26476471803431384,1.7082967027067861,0.47716953399642337
1541,0,3,1,0,1,1541,843,2,2001,1541,0,13704,118,150,81,5,7,1541,2001,2002,205000,1.0585746231417141,1.7098219633185365,1.6504817649395196,0.198056591090053
1221,0,2,1,410,6,811,400,2,2004,1221,0,7500,62,0,113,5,7,1221,2004,2005,185000,0.3170156433012136,0.6822472362176522,-0.2935563847176952,-0.5029925906638048
1324,0,3,1,643,3,445,440,2,1965,1324,1,8658,84,101,138,5,6,1088,1965,1965,160000,0.5749692571888769,-0.03172019873763534,-0.10612307232829499,-0.2602648050577158
696,720,3,1,604,5,92,484,1,1999,1416,0,2572,24,0,44,5,7,696,1999,1999,155000,-1.471207939578239,-1.168552069847182,0.0965655501049995,-0.057956207739377576
526,462,2,2,462,6,0,297,1,1973,988,1,1596,21,0,101,5,4,462,1973,1973,91000,-2.360701924891689,-2.0737247781600754,-0.7929331403904429,-1.1316249192498846
869,349,3,1,375,5,360,440,1,2003,1218,1,6000,60,0,0,6,6,735,1941,1950,131000,-0.7653891668983527,-0.23879089785379543,-0.10612307232829499,-0.5103456685883735
760,896,3,1,0,1,746,397,3,2003,1656,0,6931,60,92,128,5,7,746,2003,2004,165400,-1.1915878904300592,0.5701996132584028,-0.30774559946124624,0.4169750467362666
1362,0,2,0,20,5,1342,460,2,2005,1362,0,7577,61,256,28,5,6,1362,2005,2006,194700,0.6651141880047633,1.4611528292741902,-0.01356253415059001,-0.17515606798605052
1051,788,4,1,0,1,756,442,1,1966,1839,1,7700,70,351,124,5,6,756,1966,1966,155000,-0.16033303102029992,0.5877608478341867,-0.09683364023013039,0.7376159388525173
1375,0,2,1,0,1,1367,451,1,1954,1375,1,11310,75,0,30,5,6,1367,1954,1954,140000,0.6953787182016795,1.4934064167296837,-0.05512370732054773,-0.14654921475176183
1122,0,2,1,144,6,172,528,1,1948,1122,0,12000,100,0,36,7,5,924,1948,2005,147000,0.04776692124920744,-0.8163335528522552,0.2959766755414419,-0.755066002409174
1432,0,2,2,680,5,289,588,1,1978,1432,0,16157,69,0,180,7,5,1360,1978,1978,194000,0.8247954272597279,-0.4323576167008764,0.5631880193113078,-0.024032850563332427
728,728,3,0,0,1,728,400,3,2007,1456,0,9018,65,0,24,5,7,728,2007,2007,179540,-1.328336371182484,0.5382765168886732,-0.2935563847176952,0.02619322607976075
1217,0,3,0,611,6,577,497,1,1990,1217,0,9947,69,0,27,5,7,1188,1990,1991,173000,0.30656556694472037,0.25237639713436477,0.15580804546002663,-0.5128004590181839
1040,0,2,3,0,0,0,625,1,1950,1040,1,7200,60,0,0,7,5,0,1950,1950,109500,-0.1938221119436536,-2.0737247781600754,0.7255154589467586,-0.9801341126834022
612,612,2,0,294,6,318,528,2,2009,1224,0,3000,30,76,234,5,6,612,2009,2009,173733,-1.8798555145546014,-0.35059207072637955,0.2959766755414419,-0.4956563902447852
1022,752,2,1,0,1,952,468,1,1931,1774,1,6120,51,0,0,5,7,952,1931,1950,129900,-0.24939127069592573,0.9101599710541318,0.02325861397632495,0.6272910880321284
