GrLivArea,OverallQual
1828.0,9.0
894.0,5.0
964.0,5.0
1689.0,8.0
1541.0,7.0
1221.0,7.0
1324.0,6.0
1416.0,7.0
988.0,4.0
1218.0,6.0
1656.0,7.0
1362.0,6.0
1839.0,6.0
1375.0,6.0
1122.0,5.0
1432.0,5.0
1456.0,7.0
1217.0,7.0
1040.0,5.0
1224.0,6.0
1774.0,7.0
1367.0,5.0
1360.0,5.0
848.0,6.0
2262.0,8.0
1220.0,4.0
1414.0,7.0
2058.0,6.0
1198.0,6.0
1659.0,8.0
1012.0,6.0
3082.0,7.0
1812.0,5.0
1929.0,7.0
954.0,5.0
1838.0,9.0
1640.0,6.0
1148.0,5.0
950.0,5.0
1911.0,8.0
1635.0,6.0
1316.0,7.0
1442.0,6.0
1078.0,5.0
1120.0,4.0
1419.0,8.0
1389.0,7.0
1063.0,5.0
1792.0,9.0
1216.0,6.0
1762.0,7.0
1959.0,7.0
1208.0,6.0
1524.0,5.0
1154.0,4.0
1048.0,5.0
886.0,5.0
943.0,5.0
1768.0,7.0
2599.0,9.0
912.0,5.0
882.0,5.0
1337.0,6.0
2076.0,10.0
2531.0,8.0
1768.0,5.0
1625.0,8.0
2144.0,6.0
2775.0,10.0
1868.0,6.0
1525.0,7.0
1571.0,8.0
796.0,5.0
2372.0,5.0
1472.0,7.0
960.0,4.0
1838.0,5.0
1309.0,6.0
2643.0,9.0
1131.0,5.0
1960.0,5.0
1144.0,5.0
1056.0,6.0
693.0,4.0
1494.0,6.0
1646.0,8.0
864.0,5.0
1566.0,8.0
1395.0,6.0
1208.0,4.0
1513.0,5.0
1367.0,6.0
955.0,5.0
1077.0,3.0
1056.0,5.0
1553.0,7.0
1614.0,7.0
2042.0,8.0
1073.0,5.0
1285.0,5.0
2117.0,6.0
605.0,4.0
1150.0,5.0
1456.0,6.0
999.0,7.0
1500.0,6.0
1336.0,5.0
1593.0,6.0
2184.0,9.0
1560.0,7.0
1644.0,5.0
630.0,4.0
1113.0,6.0
2172.0,7.0
1346.0,4.0
2610.0,8.0
1958.0,7.0
1468.0,8.0
1734.0,5.0
1200.0,5.0
1550.0,7.0
2230.0,4.0
1639.0,6.0
864.0,5.0
1621.0,7.0
987.0,6.0
2519.0,7.0
1365.0,5.0
2290.0,8.0
2596.0,9.0
907.0,4.0
1456.0,6.0
1190.0,5.0
858.0,4.0
2223.0,7.0
1005.0,4.0
1895.0,7.0
1040.0,5.0
1264.0,5.0
1761.0,7.0
1034.0,6.0
1363.0,7.0
1689.0,6.0
2113.0,8.0
1573.0,7.0
2364.0,9.0
2034.0,7.0
1291.0,6.0
858.0,5.0
1258.0,6.0
438.0,2.0
1400.0,6.0
954.0,5.0
1445.0,6.0
1072.0,6.0
1664.0,5.0
2134.0,6.0
3194.0,8.0
1824.0,6.0
1756.0,6.0
912.0,5.0
1509.0,6.0
1608.0,6.0
1316.0,6.0
1015.0,5.0
1134.0,5.0
1636.0,8.0
1320.0,7.0
2126.0,5.0
1128.0,5.0
1306.0,5.0
1344.0,4.0
2554.0,7.0
893.0,5.0
1933.0,6.0
1218.0,6.0
1969.0,7.0
2090.0,8.0
1484.0,5.0
1656.0,5.0
1224.0,6.0
2054.0,6.0
854.0,7.0
1092.0,4.0
1268.0,5.0
1661.0,7.0
1668.0,8.0
1493.0,6.0
932.0,6.0
1277.0,7.0
1530.0,7.0
1344.0,5.0
860.0,5.0
1314.0,7.0
1962.0,7.0
1490.0,7.0
848.0,6.0
672.0,5.0
2340.0,7.0
1656.0,5.0
1479.0,7.0
1226.0,7.0
2087.0,6.0
1158.0,6.0
1154.0,5.0
1724.0,7.0
1658.0,6.0
1126.0,4.0
1393.0,5.0
3447.0,8.0
987.0,6.0
1355.0,5.0
2069.0,7.0
1501.0,7.0
1976.0,8.0
1563.0,8.0
1111.0,7.0
1502.0,7.0
1733.0,3.0
2728.0,9.0
1302.0,5.0
1524.0,7.0
1588.0,4.0
1125.0,5.0
1200.0,7.0
1640.0,6.0
2127.0,7.0
972.0,6.0
2020.0,8.0
1144.0,5.0
1352.0,5.0
1316.0,5.0
1924.0,8.0
1164.0,5.0
952.0,5.0
2358.0,8.0
1680.0,6.0
1912.0,6.0
1004.0,6.0
1230.0,4.0
1167.0,5.0
1301.0,5.0
1453.0,7.0
1601.0,8.0
1588.0,8.0
1095.0,6.0
1050.0,5.0
960.0,4.0
1456.0,5.0
1489.0,6.0
1726.0,7.0
2082.0,7.0
1339.0,7.0
2450.0,8.0
1863.0,7.0
768.0,5.0
334.0,1.0
1136.0,6.0
1337.0,6.0
912.0,5.0
1812.0,5.0
2192.0,5.0
1184.0,5.0
1889.0,7.0
1327.0,5.0
1422.0,6.0
1632.0,5.0
1630.0,7.0
1526.0,3.0
1040.0,4.0
1647.0,6.0
1981.0,4.0
1644.0,6.0
2574.0,8.0
1824.0,6.0
1350.0,6.0
958.0,6.0
1848.0,6.0
1620.0,4.0
1167.0,6.0
1487.0,6.0
892.0,5.0
804.0,5.0
1140.0,5.0
1796.0,6.0
2030.0,6.0
2007.0,10.0
691.0,5.0
1590.0,8.0
1855.0,6.0
1804.0,7.0
1768.0,7.0
3627.0,10.0
1298.0,6.0
1801.0,7.0
630.0,5.0
1103.0,6.0
1178.0,4.0
1196.0,4.0
1372.0,7.0
1431.0,6.0
1422.0,7.0
1953.0,6.0
1121.0,4.0
2473.0,8.0
1057.0,5.0
1110.0,5.0
2270.0,8.0
2018.0,9.0
1386.0,6.0
1953.0,8.0
1337.0,8.0
2285.0,8.0
1718.0,8.0
1086.0,5.0
1555.0,7.0
1902.0,7.0
2514.0,7.0
1224.0,5.0
1054.0,6.0
2612.0,8.0
902.0,5.0
2353.0,7.0
1392.0,6.0
1155.0,5.0
1904.0,5.0
1158.0,6.0
1362.0,6.0
2291.0,7.0
1317.0,4.0
1734.0,8.0
1194.0,6.0
1416.0,5.0
1383.0,5.0
2002.0,5.0
1496.0,8.0
1604.0,5.0
764.0,5.0
1732.0,6.0
1494.0,7.0
986.0,6.0
1145.0,7.0
1484.0,6.0
1344.0,6.0
1539.0,5.0
2504.0,9.0
747.0,4.0
2097.0,7.0
4676.0,10.0
1176.0,6.0
720.0,4.0
1580.0,8.0
1440.0,4.0
1476.0,6.0
1500.0,7.0
1348.0,5.0
1200.0,5.0
1394.0,6.0
1632.0,6.0
912.0,5.0
2624.0,6.0
1696.0,5.0
1230.0,5.0
2727.0,8.0
1456.0,6.0
864.0,4.0
1709.0,6.0
1665.0,8.0
2646.0,7.0
1640.0,7.0
1699.0,3.0
1663.0,4.0
1728.0,5.0
1845.0,6.0
1851.0,6.0
1489.0,8.0
864.0,6.0
1256.0,5.0
816.0,5.0
1820.0,7.0
2127.0,7.0
1065.0,5.0
1200.0,6.0
1208.0,7.0
2482.0,8.0
1720.0,7.0
840.0,5.0
1294.0,6.0
1090.0,5.0
2263.0,8.0
